縣市,資料下載網址
嘉義市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/嘉義市
桃園市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/桃園市
臺北市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/臺北市
新北市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/新北市
嘉義縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/嘉義縣
澎湖縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/澎湖縣
新竹縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/新竹縣
新竹市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/新竹市
花蓮縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/花蓮縣
臺南市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/臺南市
高雄市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/高雄市
基隆市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/基隆市
南投縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/南投縣
宜蘭縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/宜蘭縣
苗栗縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/苗栗縣
雲林縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/雲林縣
臺中市,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/臺中市
屏東縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/屏東縣
彰化縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/彰化縣
臺東縣,https://dataapi.ncdr.nat.gov.tw/NCDRAPI/OpenData/NCDR/ObsTempAvg/臺東縣
